test,level,statistic,pvalue,both_correct,baseline_only,constraint_only,both_incorrect,n,significant_005,significant_001
McNemar: Z0 vs Z10,10,1635.5223482321549,0.0,12711,3605,892,3440,20648,True,True
McNemar: Z0 vs Z20,20,1127.0396547073105,4.3856554619329415e-247,13440,2876,831,3501,20648,True,True
McNemar: Z0 vs Z30,30,744.3829723225031,6.679619332011759e-164,13867,2449,875,3457,20648,True,True
McNemar: Z0 vs Z40,40,518.3902273498474,9.479169312138891e-115,14224,2092,855,3477,20648,True,True
McNemar: Z0 vs Z50,50,389.5662251655629,1.028752017627977e-86,14442,1874,844,3488,20648,True,True
McNemar: Z0 vs Z60,60,348.4656005950167,9.147004266959856e-78,14487,1829,860,3472,20648,True,True
McNemar: Z0 vs Z70,70,255.43682310469313,1.6951692240021858e-57,14670,1646,847,3485,20648,True,True
McNemar: Z0 vs Z80,80,211.02087597216536,8.225117614909138e-48,14735,1581,862,3470,20648,True,True
McNemar: Z0 vs Z90,90,163.14349178143047,2.327413965727273e-37,14887,1429,822,3510,20648,True,True
