test,level,statistic,pvalue,both_correct,baseline_only,constraint_only,both_incorrect,n,significant_005,significant_001
McNemar: Z0 vs Z10,10,759.188703465982,4.0314631498763544e-167,16559,1835,502,1751,20647,True,True
McNemar: Z0 vs Z20,20,493.0045918367347,3.1626504529283833e-109,16922,1472,488,1765,20647,True,True
McNemar: Z0 vs Z30,30,306.88129704690215,1.0438162605788365e-68,17166,1228,499,1754,20647,True,True
McNemar: Z0 vs Z40,40,202.05321219987022,7.443654175337116e-46,17344,1050,491,1762,20647,True,True
McNemar: Z0 vs Z50,50,166.89797297297298,3.521404349641129e-38,17405,989,491,1762,20647,True,True
McNemar: Z0 vs Z60,60,124.20661764705882,7.591271908743328e-29,17508,886,474,1779,20647,True,True
McNemar: Z0 vs Z70,70,67.5748752079867,2.028359332295769e-16,17650,744,458,1795,20647,True,True
McNemar: Z0 vs Z80,80,49.52029220779221,1.963304432468895e-12,17654,740,492,1761,20647,True,True
McNemar: Z0 vs Z90,90,46.09766277128548,1.1250258652105064e-11,17677,717,481,1772,20647,True,True
