version,accuracy_exp,sufficiency,similarity_clean,bert_score,model
60,0.8884153428903526,0.8529167148639791,0.8681961140259437,0.9714240192304697,Gemini 2.0 flash
70,0.8957768306857807,0.8559293947177807,0.8779879051647829,0.9723325761100757,Gemini 2.0 flash
80,0.9019759783029834,0.8611401977592299,0.8843151814990245,0.9727667380053606,Gemini 2.0 flash
90,0.9023634250290585,0.8643579271912755,0.890756933922825,0.9734898883443801,Gemini 2.0 flash
0,0.9074002324680357,0.8732604029414862,,0.9999999644589119,Deepseek V3.1
10,0.8411468423091825,0.7868415381798036,0.6071006922539885,0.9604179174435411,Deepseek V3.1
20,0.8620689655172413,0.8084201543490236,0.6772043973219021,0.9620028510429932,Deepseek V3.1
30,0.8694304533126695,0.8213100769680245,0.7219744565435178,0.9635551142304593,Deepseek V3.1
40,0.8837659821774506,0.8325154075734099,0.7555583710589182,0.9652280266411496,Deepseek V3.1
50,0.8864781092599767,0.8395022602974537,0.7783365805006591,0.9662597456998208,Deepseek V3.1
60,0.8895776830685781,0.8442757176123228,0.7974856817609162,0.967271255781742,Deepseek V3.1
70,0.8969391708640062,0.8529087754837947,0.8119787666997167,0.9678915421753048,Deepseek V3.1
80,0.8981015110422317,0.8538125329528,0.8254088296395131,0.9685342723387519,Deepseek V3.1
90,0.9012010848508331,0.8597111889358519,0.8407138593953878,0.9693651547130805,Deepseek V3.1
0,0.9000387446726075,0.8618613591755425,,0.9999999648976908,Mistral 3.1 Small
10,0.8132506780317706,0.7637078347867647,0.6063801844491371,0.9595309480222238,Mistral 3.1 Small
20,0.8306857807051531,0.7871672493657265,0.6836900082220175,0.9617459103609416,Mistral 3.1 Small
30,0.8450213095699342,0.793210881617322,0.7281630274539121,0.9633817609222025,Mistral 3.1 Small
40,0.8578070515304146,0.8076042293349941,0.7640405794600561,0.965085996878512,Mistral 3.1 Small
50,0.8492832235567609,0.8092533771457272,0.7900510008300011,0.966578130341463,Mistral 3.1 Small
60,0.8616815187911662,0.8184216795555747,0.8098100478429288,0.9677463475238072,Mistral 3.1 Small
70,0.8655559860519179,0.8238846479574049,0.8242666995811722,0.9687545680343896,Mistral 3.1 Small
80,0.8667183262301433,0.8241523516014492,0.8347260903961111,0.9696891761620532,Mistral 3.1 Small
90,0.8643936458736924,0.8260854241503934,0.8473956933875085,0.9705731462065169,Mistral 3.1 Small
0,0.8976744186046511,0.8656134918297866,,0.9999999679336252,LLAMA 4 Scout
10,0.8441860465116279,0.7939347084219422,0.6416375793892053,0.9576516872228578,LLAMA 4 Scout
20,0.8577519379844961,0.8154331154983023,0.7302973208587992,0.961484612905702,LLAMA 4 Scout
30,0.8709302325581395,0.8277909383370736,0.7727981590745292,0.9654719215954921,LLAMA 4 Scout
40,0.8705426356589148,0.8318164549359814,0.8014933459634005,0.9680834194486455,LLAMA 4 Scout
50,0.8810077519379845,0.8415537569379252,0.8224839471424966,0.9686681509479996,LLAMA 4 Scout
60,0.8825581395348837,0.8449993246547983,0.8436276477725468,0.9718277742696363,LLAMA 4 Scout
70,0.8872093023255814,0.8483045530147828,0.8582229128179624,0.9731078959019609,LLAMA 4 Scout
80,0.8875968992248062,0.8505563844127795,0.8662122518055199,0.9739931150462277,LLAMA 4 Scout
90,0.8860465116279069,0.8531531021212321,0.8732917507027471,0.9746630025002383,LLAMA 4 Scout
